_RAJ2000;_DEJ2000;Vmag;Sp;Rad;r_Diam
001.2908;+45.2292; 6.70;A1VN          ; 1.9e+00;F4
001.3337; -5.7075; 4.61;K0III         ; 1.4e+01;H23
001.3337; -5.7075; 4.62;K1III         ; 1.4e+01;W1
001.4217;+45.8097; 8.97;M0V           ; 6.5e-01;J3
001.4217;+45.8097; 8.93;K6V           ; 6.5e-01;J3
001.3237;-67.8325; 8.45;K5V           ; 7.0e-01;J3
001.5658;+58.4367; 7.20;G8V           ; 8.9e-01;J3
001.5658;+58.4367; 5.97;G5V           ; 1.0e+00;J3
001.5658;+58.4367; 6.54;DG3           ; 9.3e-01;L12
001.5658;+58.4367; 7.30;DG8           ; 7.6e-01;L12
001.5379;-29.1514; 7.89;A0VN          ; 2.0e+00;F4
001.5800;-49.0753;11.50;              ; 5.2e-01;J3
001.5800;-49.0753; 5.69;G1IV          ; 1.2e+00;J3
001.6104;+64.1961; 5.44;B8            ; 4.2e+00;W1
001.6533;+29.0214; 6.14;K0V           ; 9.1e-01;J3
001.6533;+29.0214; 6.14;K0V           ; 8.5e+01;W1
001.7087;-23.1075; 6.17;A7V           ; 1.8e+00;W1
001.7825;-30.5617; 8.64;A1VN          ; 1.9e+00;F4
001.8262;-17.3869; 6.18;A3            ; 2.0e+00;W1
001.8262;-17.3869; 6.19;A6VN          ; 1.3e+00;F4
001.8854;-23.8186; 8.69;G0            ; 7.8e-01;J3
002.0504; -2.4478; 6.07;K1III         ; 3.8e+01;H23
002.0971;+29.0906; 2.02;B9P           ; 4.0e+00;S2
002.0971;+29.0906; 2.06;B8IVP         ;        ;G28
002.0971;+29.0906; 2.15;A0P           ; 1.4e+00;H1
002.0971;+29.0906; 2.02;B9IIIP        ; 3.6e+00;B19
002.0971;+29.0906; 2.34;B9P           ;        ;O6
002.0971;+29.0906; 2.06;B8IVP         ; 5.3e+00;S14
002.1704;+36.6272; 6.21;F5V           ; 1.0e+00;J3
002.1396;-17.5781; 6.37;M1            ; 5.4e+01;W1
002.2171;+25.4631; 6.23;K0III         ; 1.2e+01;W1
002.2946;+59.1497; 2.27;F2III         ;        ;B53
002.2946;+59.1497; 2.27;F2III         ;        ;B52
002.2946;+59.1497; 2.27;F2IV          ; 2.5e+00;J3
002.2946;+59.1497; 2.25;F2IV          ; 2.9e+00;G3
002.2946;+59.1497; 2.42;F5            ; 1.8e+00;H1
002.2946;+59.1497; 2.25;F2IV          ; 1.0e+00;F1
002.2946;+59.1497; 3.27;F2III-IV      ;        ;O6
002.2946;+59.1497; 2.27;F2III-IV      ; 2.8e+00;G14
002.2508;+28.2475; 6.13;A4V           ; 1.6e+00;F3
002.3525;-45.7475; 3.87;K0III         ; 1.2e+01;W1
002.3525;-45.7475; 3.88;K0III         ; 5.7e+00;J3
002.5092;+11.1458; 5.53;B8V           ; 2.6e+00;F4
002.5800;+46.0722; 5.05;F2II          ; 1.7e+01;W1
002.6783;-12.5800; 5.94;K1V           ; 4.2e+00;W1
002.8162;-15.4681; 4.88;F6V           ; 1.4e+00;W1
002.8162;-15.4681; 4.89;F6V           ; 1.1e+00;J3
002.9333;-35.1331; 5.24;F4V           ; 1.6e+00;W1
002.9333;-35.1331; 5.23;F4V           ; 1.2e+00;F4
002.8879;-58.9097; 8.34;G4V           ; 7.7e-01;J3
003.0417;-17.9383; 5.28;K5III         ; 4.8e+01;W1
003.2542;+72.5219;11.60;WC8           ; 3.3e-01;L26
003.2092;+37.6936; 6.52;B2V           ; 4.5e+00;W1
003.3092;+15.1836; 2.83;B2IV          ; 6.2e+00;U4
003.3092;+15.1836; 2.83;B2IV          ;        ;O6
003.3092;+15.1836; 2.83;B2IV          ; 6.9e+00;W1
003.3092;+15.1836; 2.87;B2.5IV        ;        ;C1
003.3092;+15.1836; 2.87;B2            ; 6.1e+00;H1
003.5096;+33.2061; 6.21;A1V           ; 1.8e+00;F4
003.5096;+33.2061; 6.03;A1V           ; 2.5e+00;W1
003.6508;+20.2067; 4.94;MA            ; 3.1e+01;H1
003.6508;+20.2067; 4.80;M2III         ; 5.6e+01;W1
003.6600;-18.9328; 4.42;M1III         ; 5.4e+01;W1
003.6600;-18.9328; 4.44;M3III         ;        ;O6
003.7329;+22.2842; 6.03;A0V           ; 2.7e+00;W1
003.7329;+22.2842; 6.20;A0V           ; 2.0e+00;F3
003.7271; -9.5694; 5.74;B9            ; 3.1e+00;W1
003.7942;+27.2833; 6.35;A1VN          ; 1.8e+00;F4
004.0371;-31.4464; 5.66;K5III         ; 4.8e+01;W1
004.1762;-20.2100; 6.50;B8            ; 3.0e+00;W1
004.2246;-52.6511; 6.84;G2V           ; 8.5e-01;J3
004.2729;+38.6817; 4.44;A2            ; 1.7e+00;H1
004.2729;+38.6817; 4.61;A2V           ;        ;M14
004.2729;+38.6817; 4.61;A2V           ; 1.7e+00;F2
004.2729;+38.6817; 4.61;A2V           ; 2.2e+00;W1
004.3158; -4.4489; 8.70;K0            ;        ;B43
004.3187;-43.8528; 7.95;G5IV          ; 5.4e-01;J3
004.2017;-78.7803; 6.76;F5            ;        ;W1
004.5954;+44.0231;11.04;M6VE          ; 1.9e-01;L6
004.5954;+44.0231;11.04;M6VE          ; 2.4e-01;J3
004.5954;+44.0231; 8.08;M1V           ; 4.8e-01;J3
004.5954;+44.0231; 8.07;M1V           ;        ;O6
004.5954;+44.0231; 8.07;M1V           ; 4.1e-01;L6
004.5954;+44.0231;11.04;M6            ; 1.9e-01;P30
004.5954;+44.0231; 8.07;M1            ; 4.1e-01;P30
004.5954;+44.0231;11.04;M6            ; 2.2e-01;C36
004.4296;+51.4331; 5.91;O8.5          ; 1.5e+01;P3
004.4296;+51.4331;     ;O8.5          ; 9.4e+00;P3
004.4296;+51.4331;     ;O8NK          ; 1.6e+01;P4
004.4296;+51.4331; 6.08;O8.5III       ; 1.3e+01;S19
004.4296;+51.4331; 6.08;O8NK          ; 2.4e+01;P4
004.4296;+51.4331; 6.08;O9III         ; 1.4e+01;W4
004.4296;+51.4331;     ;O9III         ; 8.9e+00;W4
004.4296;+51.4331; 6.08;O8            ; 1.2e+01;G2
004.4296;+51.4331;     ;O8            ; 1.2e+01;G2
004.4296;+51.4331;     ;O8.5III       ; 1.4e+01;S19
004.3862;-19.0511; 6.44;F0            ; 1.6e+00;W1
004.4954;-13.4556; 6.54;G2V           ; 9.9e-01;J3
004.5821;+36.7853; 4.53;A2V           ; 2.2e+00;W1
004.5821;+36.7853; 4.53;A2V           ; 1.7e+00;F2
004.5821;+36.7853; 4.51;A2            ; 1.0e+00;H1
004.6596;+31.5172; 5.74;A1V           ; 2.5e+00;W1
004.6746; -8.0531; 6.45;G0            ; 1.7e+00;W1
004.6746; -8.0531; 6.45;G5V           ; 9.5e-01;J3
004.8279;+59.1392;     ;G             ; 3.1e+00;M13
004.8279;+59.1392; 7.22;B9V           ; 3.2e+00;M13
004.8279;+59.1392; 7.22;B9VP          ; 3.2e+00;K16
004.8279;+59.1392;     ;GV            ; 3.3e+00;K16
004.8279;+59.1392; 7.46;B9            ; 2.6e+00;P3
004.8279;+59.1392;     ;F9IV          ; 2.4e+00;P3
004.8279;+59.1392; 7.66;B9            ; 3.3e+00;W26
004.8279;+59.1392;     ;A0            ; 2.2e+00;G2
004.8279;+59.1392; 7.66;B9            ; 3.6e+00;P4
004.8279;+59.1392;     ;A0            ; 1.6e+00;P4
004.8279;+59.1392; 7.66;B9            ; 2.7e+00;G2
004.8279;+59.1392;     ;F8III         ; 2.4e+00;K2
004.8279;+59.1392; 7.30;A0            ; 2.6e+00;K2
004.8279;+59.1392;     ;A0            ; 3.1e+00;W26
004.8571; -8.8239; 3.56;K2III         ; 1.6e+01;W1
004.9750;+44.7094; 8.51;C4.5          ;        ;D23
005.0217;+48.8656; 6.52;A0VS          ; 2.1e+00;F4
005.0179;-64.8747; 4.20;F9V           ; 9.0e-01;P31
005.0179;-64.8747; 4.23;G0V           ; 9.6e-01;J3
005.0179;-64.8747; 4.23;G0V           ; 8.5e-01;L6
005.0179;-64.8747; 4.22;G2V           ; 1.1e+00;W1
005.1017;+30.9356; 5.82;B6IV          ; 4.7e+00;W1
005.1017;+30.9356; 5.87;B7V           ; 2.9e+00;F4
005.2804;+37.9686; 5.10;F5IV          ; 2.8e+00;W1
005.2804;+37.9686; 5.10;F5IV          ; 9.3e-01;F1
005.4429;-20.0581; 5.12;M5IIE         ;        ;O6
005.5387;-27.3997; 5.34;F4V           ; 1.0e+00;F4
005.5983;-27.0325; 8.32;K3V           ; 7.7e-01;J3
005.7158;-12.2094; 6.38;G2V           ; 1.1e+00;P31
005.7158;-12.2094; 6.39;G2V           ; 9.8e-01;J3
005.7158;-12.2094; 6.44;G2V           ; 1.1e+00;W1
005.8096;+55.7925; 8.41;M7            ; 3.9e+02;V9
005.9792; +1.5386; 6.31;K4III         ; 5.1e+01;H23
006.1079;-27.0267; 7.91;K3V           ; 8.2e-01;J3
006.4379;-77.2542; 2.80;G2IV          ; 1.5e+00;L6
006.4379;-77.2542; 2.80;G1IV          ;        ;O6
006.4379;-77.2542; 2.79;G2IV          ; 1.7e+00;G4
006.4379;-77.2542; 2.80;G2IV          ; 1.5e+00;J3
006.4379;-77.2542; 2.79;G2IV          ; 2.7e+00;W1
006.5808;+51.2803; 7.39;F3II-F5II     ; 1.4e+01;P9
006.5808;+51.2803; 7.39;F3II-F5II     ; 2.2e+01;N7
006.5808;+51.2803; 7.39;F3II-F5II     ; 1.4e+01;S3
006.5808;+51.2803; 7.39;F3II-F5II     ; 1.4e+01;C3
006.5808;+51.2803; 7.39;F3II-F5II     ; 2.2e+01;C3
006.5808;+51.2803; 6.88;F3II-F5II     ; 1.5e+01;P26
006.5808;+51.2803; 7.39;F3II-F5III    ; 1.6e+01;K14
006.5712;-42.3061; 2.38;K0III         ; 1.8e+01;J3
006.5712;-42.3061; 2.39;K0III         ;        ;O6
006.5712;-42.3061; 2.39;K0III         ; 1.2e+01;W1
006.5508;-43.6797; 3.94;A7V           ;        ;M14
006.5508;-43.6797; 3.93;A7VN          ; 1.8e+00;W1
006.5508;-43.6797; 3.92;A7VN          ; 1.1e+00;J3
006.5508;-43.6797; 3.95;A7VN          ; 1.2e+00;F4
006.8821;+35.5872; 7.92;C5.4          ;        ;D23
007.0121;+17.8931; 6.90;M3III         ; 5.9e+01;W1
007.0571;+44.3944; 5.17;A2VS          ; 1.7e+00;F4
006.9821;-33.0072; 4.81;M4III         ;        ;O6
006.9821;-33.0072; 4.96;M4III         ; 7.0e+01;W1
007.0837;+10.1897; 6.05;F2V           ; 1.2e+00;F4
007.0837;+10.1897; 5.99;F2V           ; 1.6e+00;W1
007.7296;+77.0194; 6.22;K0IV          ; 3.8e+00;W1
007.4662;-14.8642; 6.13;F2            ;        ;W1
007.5625; +5.3622; 6.10;B8II-III      ; 8.7e+00;W1
007.5946;-23.7878; 5.14;A5V           ; 1.4e+00;F4
007.5946;-23.7878; 5.18;A3V           ; 2.0e+00;W1
007.9433;+54.5222; 4.88;B8            ;        ;H1
007.9433;+54.5222; 4.64;B8VN          ; 2.6e+00;F3
007.9217;+52.8394; 5.60;K2III         ; 1.6e+01;W1
007.8542;-48.8036; 4.73;A0V           ; 2.1e+00;F4
007.8862;-62.9583; 4.33;B8V           ; 2.6e+00;F4
007.8862;-62.9583; 4.37;B9V           ;        ;M14
007.8896;-62.9656; 4.51;A2V           ; 1.8e+00;F4
007.8896;-62.9656; 4.54;A2V           ;        ;M14
008.1117;+43.4947; 5.78;A1VN          ; 1.9e+00;F3
008.2500;+62.9317; 4.24;B0            ; 1.3e+01;H1
008.2500;+62.9317; 4.16;B1IA          ; 3.5e+01;R13
008.2500;+62.9317; 4.15;B1IA          ; 4.5e+01;W1
008.2500;+62.9317; 4.16;B1IA          ;        ;O6
008.2500;+62.9317; 4.16;B1IA          ; 4.0e+01;U3
008.2933;+54.8950; 5.99;K0III         ; 1.2e+01;W1
008.1829;-63.0314; 5.09;A2            ; 7.0e-01;J3
008.1829;-63.0314; 5.05;A2V           ; 1.7e+00;F4
008.4208;-29.5583; 5.54;K2III         ; 1.6e+01;W1
008.6238;+47.9156; 7.40;F8            ; 8.8e-01;J3
008.6158;-52.3731; 5.57;F6V           ; 1.1e+00;J3
008.8121; -3.5928; 5.20;F8V           ; 1.0e+00;J3
008.8121; -3.5928; 6.30;              ; 9.2e-01;J3
009.0346;+54.1683; 5.05;B8V           ; 2.6e+00;F4
009.0346;+54.1683; 5.15;B8V           ; 3.2e+00;W1
009.1137;+60.3261; 5.82;A2N           ; 3.3e+01;W1
009.1933;+44.4886; 5.29;K5III         ; 4.8e+01;W1
009.0183;-49.1281; 8.37;K0V           ; 7.0e-01;J3
009.2429;+53.8969; 3.72;B3            ; 6.4e+00;H1
009.2429;+53.8969; 3.72;B2.5IV        ; 8.2e+00;C1
009.2429;+53.8969; 3.61;B2V           ; 4.5e+00;W1
009.2567;+55.2172; 3.66;B2IV          ; 5.8e+00;U4
009.2200;+33.7194; 4.44;B3            ; 2.7e+00;H1
009.2200;+33.7194; 4.43;B5V           ; 3.5e+00;F2
009.1971;+15.2317; 5.81;B3V           ; 3.9e+00;W1
009.3383;+35.3994; 5.46;G0III         ; 1.1e+01;W1
009.3362;-24.7672; 6.40;              ; 8.7e-01;J3
009.3362;-24.7672; 5.58;G5V           ; 8.8e-01;J3
009.3733;+21.9200; 8.91;F3V           ; 1.1e+00;F3
009.3771; +3.1353; 6.98;K4III         ; 3.7e+01;W1
009.6388;+29.3117; 4.52;G5            ; 3.2e+00;H1
009.6388;+29.3117; 4.37;G8III         ; 1.3e+01;W1
009.6388;+29.3117; 4.37;G8III         ;        ;H19
009.6325;-20.2967; 6.70;B8V           ; 2.5e+00;F4
009.8321;+30.8611; 3.27;K3III         ;        ;B53
009.8321;+30.8611; 3.27;K3III         ;        ;M21
009.8321;+30.8611; 3.27;K3III         ;        ;B52
009.8321;+30.8611; 3.27;K3III         ;        ;O6
009.8321;+30.8611; 3.49;K2            ; 1.2e+01;H1
009.8321;+30.8611; 3.27;K3III         ; 2.5e+01;G12
009.8408;+21.2506; 5.80;K0V           ; 8.2e-01;P31
009.8408;+21.2506; 5.84;K0V           ; 9.5e-01;G4
009.8408;+21.2506; 5.86;K0V           ; 8.6e-01;J3
009.8408;+21.2506; 5.84;K0V           ; 8.5e-01;W1
009.8408;+21.2506; 5.86;K0V           ; 7.9e-01;L6
010.1267;+56.5372; 2.23;K0III         ;        ;H19
010.1267;+56.5372; 2.23;K0IIIA        ;        ;M21
010.1267;+56.5372; 2.20;K0II-III      ; 2.6e+01;B25
010.1267;+56.5372; 2.47;K0            ; 1.6e+01;H1
010.1267;+56.5372; 2.23;K0IIIA        ; 4.1e+01;G12
010.1267;+56.5372; 2.23;K0II-III      ;        ;O6
009.9908;-33.9614; 6.30;F8            ; 1.3e+00;W1
010.2054;+40.1872; 7.35;K2V           ; 7.9e-01;J3
010.1367;-23.8050; 6.13;G3V           ; 1.1e+00;W1
010.1367;-23.8050; 6.14;G3V           ; 1.0e+00;J3
010.2800;+39.4586; 5.33;G8III         ; 1.3e+01;W1
010.1979; -7.2325;10.02;M1V           ; 6.9e-01;J3
010.1979; -7.2325; 7.02;G0V           ; 9.4e-01;J3
010.1071;-59.4547; 5.88;G1V           ; 1.1e+00;W1
010.1071;-59.4547; 5.88;G1V           ; 1.0e+00;J3
010.1071;-59.4547; 5.88;G1V           ; 1.1e+00;G4
010.5162;+50.5125; 4.79;B2V           ; 4.5e+00;W1
010.5162;+50.5125; 4.85;B3            ; 4.3e+00;H1
010.3317;-46.0850; 4.58;G8III         ; 1.3e+01;W1
010.8683;+64.7597;10.20;WN5           ; 1.4e+01;S25
010.8671;+47.0244; 4.89;A5V           ; 1.5e+00;F3
010.6787;-38.4636; 6.04;A0V           ; 2.1e+00;F3
010.6746;-60.2628; 5.98;K2            ; 4.8e+01;W1
010.8975;-17.9867; 2.04;K1III         ; 1.4e+01;W1
010.8975;-17.9867; 2.04;K0III         ;        ;O6
010.8975;-17.9867; 2.02;K0III         ; 1.5e+01;J3
011.1092;+47.8639; 5.64;B5V           ; 3.4e+00;W1
011.1092;+47.8639; 5.64;B5V           ; 3.4e+00;F2
010.8383;-57.4631; 4.36;A0IV          ;        ;M14
010.8383;-57.4631; 4.36;A0V           ; 1.3e+00;J3
010.8383;-57.4631;12.00;              ; 4.8e-01;J3
011.4129;+74.9881;     ;F5            ; 1.5e+00;K2
011.4129;+74.9881; 5.60;A3            ; 2.8e+00;K2
011.4129;+74.9881;     ;F4            ; 1.4e+00;P3
011.4129;+74.9881; 5.60;A3            ; 2.7e+00;P3
011.4129;+74.9881;     ;F5            ; 1.4e+00;L13
011.4129;+74.9881; 5.66;A3            ; 2.5e+00;L13
011.1550;+40.6794; 7.22;M2.4III       ; 7.5e+01;V7
011.1550;+40.6794; 7.22;M2V           ; 5.8e+00;L24
011.1550;+40.6794; 7.22;M2.4          ; 1.9e-02;M24
011.1812;+48.2844; 4.70;B2            ;        ;H1
011.0475;-10.6094; 4.75;K0III         ; 1.2e+01;W1
011.1112;-26.5156; 7.82;G5V           ; 8.5e-01;J3
011.0504;-38.4217; 5.97;K0III         ; 1.4e+01;W1
011.3217;+55.2214; 5.53;A2VS          ; 1.7e+00;F3
011.1850;-22.0061; 5.24;F2V           ; 1.1e+00;J3
011.1850;-22.0061; 5.23;F2V           ; 1.6e+00;W1
011.1850;-22.0061; 5.21;F2V           ; 1.1e+00;F4
011.2704; +1.7856; 8.05;K2V           ; 8.3e-01;J3
011.2379;-42.6767; 5.93;A7V           ; 1.8e+00;W1
011.2379;-42.6767; 5.91;A7V           ; 1.4e+00;F4
011.2496;-53.7150; 6.14;F6V           ; 2.1e+00;W1
011.1637;-65.6494; 6.54;G3V           ; 9.2e-01;J3
011.6771;+59.5744; 6.39;G0IB          ; 1.4e+02;P7
011.6771;+59.5744; 6.39;G0IB          ; 8.8e+01;W1
011.4512;-41.9092; 7.88;K5V           ; 6.9e-01;J3
011.4512;-41.9092; 8.90;K7V           ; 6.7e-01;J3
011.8346;+24.2672; 4.30;K0            ; 8.3e+00;H1
011.8346;+24.2672; 5.10;K1II          ; 8.5e+01;W1
011.8346;+24.2672; 4.06;K1III         ; 1.1e+01;H23
011.8346;+24.2672; 4.06;K1II          ;        ;H19
011.8483; +6.7408; 6.00;G6III         ; 1.3e+01;W1
011.8783;-36.9403; 7.82;G0            ; 8.4e-01;J3
011.9892; -9.3464; 8.10;F5            ; 8.4e-01;J3
012.2762;+57.8153; 3.44;G0V           ; 1.0e+00;J3
012.2762;+57.8153; 3.45;G0V           ; 1.1e+00;G3
012.2762;+57.8153; 7.51;M0V           ; 6.6e-01;J3
012.2762;+57.8153; 3.44;G0V           ;        ;B53
012.2762;+57.8153; 3.44;G0V           ;        ;B52
012.2762;+57.8153; 7.51;K7V           ;        ;O6
012.2762;+57.8153; 3.64;F8            ; 8.0e-01;H1
012.2762;+57.8153; 3.44;G0V           ; 1.0e+00;L6
012.2762;+57.8153; 3.45;G0V           ; 9.6e-01;L12
012.2762;+57.8153; 3.34;G0V           ;        ;O6
012.2762;+57.8153; 7.51;M0V           ; 5.5e-01;L12
012.0046;-21.7225; 5.56;B9V           ; 3.1e+00;W1
012.0046;-21.7225; 5.54;B9V           ; 2.3e+00;F4
012.0725; +7.3000; 5.94;G7III         ; 1.3e+01;W1
012.0958; +5.2806; 5.76;K2V           ; 8.5e-01;W1
012.0958; +5.2806; 5.75;K2V           ; 8.0e-01;J3
012.0958; +5.2806; 5.75;K2V           ;        ;O6
012.0958; +5.2806; 5.76;K2V           ; 8.4e-01;G4
012.0958; +5.2806; 5.76;K2V           ; 7.4e-01;L6
012.1704; +7.5850; 4.55;K5            ; 2.3e+01;H1
012.1704; +7.5850; 4.43;K5III         ;        ;O6
012.1704; +7.5850; 4.43;K5III         ;        ;D7
012.1704; +7.5850; 4.40;K4.5          ;        ;R24
012.1704; +7.5850; 4.44;K5III         ; 4.8e+01;W1
012.1704; +7.5850; 4.41;K5III         ;        ;B13
012.1704; +7.5850; 4.43;K5III         ;        ;B52
012.2446;+16.9406; 5.08;F8V           ; 1.1e+00;J3
012.2446;+16.9406; 5.12;F8V           ; 1.3e+00;W1
012.4533;+41.0789; 4.53;B5V           ; 3.4e+00;F2
012.4533;+41.0789; 4.42;B3            ; 3.1e+00;H1
012.4533;+41.0789; 4.53;B5V           ; 3.4e+00;W1
012.3617;-23.2125; 7.17;G7V           ; 8.3e-01;J3
012.3892;-23.3622; 6.27;A3V           ; 1.7e+00;F4
012.3892;-23.3622; 6.28;A3V           ; 2.0e+00;W1
012.6817;+64.2475; 5.36;A+FV          ;        ;W1
012.5762;+45.0022; 6.14;A0P           ; 2.6e+00;B33
012.5317;-10.6444; 5.20;F8V           ; 1.3e+00;W1
012.5317;-10.6444; 5.20;F8V           ; 1.0e+00;J3
012.1475;-74.9233; 5.06;M1III         ; 5.4e+01;W1
012.8183;+61.8056; 6.22;K5I           ; 1.8e+03;W1
013.7212;+83.7075; 5.65;A4V           ; 1.5e+00;F3
012.8908;+51.5714; 6.21;B9.5V         ; 2.4e+00;F4
012.8408;+18.7392; 9.27;K6V           ; 6.7e-01;J3
012.8262; +3.3850; 6.40;G7III         ; 1.2e+01;W1
012.8917;-22.9100; 8.93;K4V           ; 6.9e-01;J3
012.5254;-73.1292;11.04;B6E           ; 1.4e+02;T8
013.2675;+61.1239; 4.80;F8IV          ; 1.1e+00;J3
013.2675;+61.1239; 4.93;F8            ; 1.2e+00;H1
012.6600;-73.4717;11.08;B1.5          ; 8.2e+01;T8
013.2225;+38.5489; 6.46;A1V           ; 2.5e+00;W1
013.2225;+38.5489; 6.69;A1V           ; 1.9e+00;F4
013.2521; -1.1442; 4.92;K0            ; 2.0e+01;H1
013.2521; -1.1442; 4.76;M0III         ; 5.3e+01;W1
013.2546;-30.3569; 7.15;K3V           ; 7.9e-01;J3
012.9442;-71.9981;10.80;A2            ; 3.0e-01;K3
012.9442;-71.9981;     ;M0            ; 2.9e-01;K3
013.7508;+58.9728; 4.95;K0            ; 1.2e+01;H1
013.2704;-72.6333;10.79;B6IA          ; 1.4e+02;T8
013.7471;+24.1003; 7.40;G5            ; 8.6e-01;J3
013.2825;-74.6517; 8.52;F8V           ; 1.6e+00;B48
013.2825;-74.6517; 8.12;K1IV          ; 3.1e+00;B48
013.9937;+27.2094; 5.97;A3V           ; 2.0e+00;W1
014.1771;+60.7167; 2.25;B0.5IV        ; 2.3e+01;V4
014.1771;+60.7167; 2.25;B0P           ;        ;H1
014.1771;+60.7167; 2.47;B0IVEV        ;        ;O6
014.1662;+59.1811; 4.70;G8III-IV      ; 7.8e+00;W1
014.1662;+59.1811; 4.62;G8IV          ; 5.5e+00;J3
014.1662;+59.1811; 4.83;K0            ; 9.4e+00;H1
014.0062;-11.2664; 5.30;K4III         ; 3.7e+01;W1
014.1883;+38.4994; 3.93;A5V           ; 1.4e+00;F1
014.1883;+38.4994; 3.94;A2            ;        ;H1
014.1883;+38.4994; 3.87;A5V           ;        ;M14
014.1883;+38.4994; 3.93;A5V           ; 1.4e+00;F2
014.1883;+38.4994; 3.87;A5V           ;        ;B53
013.7512;-69.5272; 5.44;G7III         ; 1.2e+01;W1
014.3017;+23.4178; 4.43;G8III-IV      ; 7.8e+00;W1
014.3017;+23.4178; 4.62;G5            ; 7.2e+00;H1
014.3017;+23.4178; 4.42;G8III         ;        ;B53
014.3017;+23.4178; 4.42;G8III         ;        ;B52
014.4771;+13.6958; 6.32;G5III         ; 1.1e+01;W1
014.3321;-62.2456; 9.47;K7V           ; 6.8e-01;J3
015.5767;+81.8756;     ;B8            ; 2.4e+00;K2
015.5767;+81.8756; 6.74;G2III         ; 4.3e+00;P3
015.5767;+81.8756; 6.80;G8III         ; 3.9e+00;K2
015.5767;+81.8756; 7.00;K0            ; 3.3e+00;G2
015.5767;+81.8756;     ;A0            ; 2.0e+00;G2
015.5767;+81.8756; 6.95;G8III-IV      ; 4.8e+00;C11
015.5767;+81.8756;     ;B7V           ; 2.9e+00;C11
015.5767;+81.8756;     ;B8            ; 2.9e+00;H10
015.5767;+81.8756;     ;B8.5          ; 2.5e+00;P3
015.5767;+81.8756; 7.00;G8III         ; 4.7e+00;H10
014.6517;-29.3575; 4.30;B8III         ; 4.2e+00;W1
015.9117;+82.1008; 8.40;G2V           ; 8.1e-01;J3
014.9571; +6.4833; 6.14;M2III         ;        ;A2
017.1871;+86.2572; 4.21;K2III         ; 1.6e+01;W1
017.1871;+86.2572; 4.52;K0            ; 1.7e+01;H1
015.0654;+18.1989; 7.40;G5            ; 8.6e-01;J3
015.5771;+51.0350; 6.47;A3V           ; 1.6e+00;F4
015.7262;+41.3453; 5.97;A7V           ; 1.2e+00;F1
015.7046;+31.8042; 5.38;B9V           ; 3.1e+00;W1
015.7046;+31.8042; 5.49;B9V           ; 2.3e+00;F4
015.6100;-31.5519; 5.50;A2V           ; 2.2e+00;W1
015.6100;-31.5519; 5.52;A2V           ; 1.7e+00;F4
015.7358; +7.8900; 4.45;K0            ; 9.3e+00;H1
015.7358; +7.8900; 4.28;K0III         ; 1.2e+01;W1
015.5075;-57.0025; 6.10;G8III         ; 1.3e+01;W1
015.7604; -4.8367; 5.44;K0III-IV      ; 8.9e+00;W1
015.8237;-29.5258; 6.28;G5IV          ; 2.9e+00;W1
016.1950;+51.0097; 6.52;B3V           ; 3.9e+00;W1
016.1008;-25.6050; 9.74;K5V           ; 6.9e-01;J3
016.5950;+62.7614; 6.52;A5V           ; 1.5e+00;F4
016.1675;-39.4883; 7.72;G3IV          ; 5.7e-01;J3
016.4238;+21.4656; 5.82;B9V           ; 2.2e+00;F2
016.4550; +4.9083; 6.75;F4V           ; 9.7e-01;F1
016.4037; -9.9794; 6.13;K0III         ; 1.2e+01;W1
016.7508;+56.9350; 6.43;K2III         ; 1.6e+01;W1
016.5212; -9.8394; 5.57;A0            ; 3.0e+00;W1
017.0683;+54.9203; 5.18;G5IV          ; 1.1e+00;L6
017.0683;+54.9203; 5.12;G5VI          ; 7.6e-01;J3
017.0683;+54.9203; 5.12;G5VP          ; 9.9e-01;W1
017.0683;+54.9203; 5.18;G5VP          ;        ;O6
016.8175; +0.8561; 9.50;G0            ;        ;B43
016.9079;+22.9550;14.00;M3            ; 3.3e-01;J3
016.9079;+22.9550; 8.40;K4V           ; 8.0e-01;J3
016.8037;-23.9964; 6.36;A7V           ; 1.8e+00;W1
016.8037;-23.9964; 6.33;A7V           ; 1.2e+00;F4
016.6975;-50.9894; 8.83;K1V           ; 7.5e-01;J3
017.1396;+58.2633; 5.74;B8V           ; 2.9e+00;F4
017.0054;+32.0122; 6.25;F5IV          ; 2.8e+00;W1
017.0054;+32.0122; 6.25;F5IV          ; 9.0e-01;F1
016.9883;+20.7392; 5.55;A3V           ; 1.6e+00;F4
016.9883;+20.7392; 5.58;A3V           ; 2.0e+00;W1
017.4296;+61.5472; 7.68;F8V           ;        ;M14
017.0925; +5.6497; 5.53;F2V           ; 1.1e+00;F1
017.0925; +5.6497; 5.53;F2V           ; 1.6e+00;W1
016.9496;-41.4869; 5.19;A3V           ; 1.6e+00;F4
016.8279;-61.7753; 5.36;G5III         ; 1.1e+01;W1
017.1475;-10.1822; 3.44;K3III         ; 2.8e+01;W1
017.3754;+47.2417; 4.28;B8            ; 2.9e+00;H1
017.3754;+47.2417; 2.20;O5IA          ; 1.9e+01;K20
017.4329;+35.6206; 2.37;MA            ; 2.2e+01;H1
017.4329;+35.6206; 2.00;M0III         ; 3.3e+01;B25
017.4329;+35.6206; 2.03;M0III         ;        ;S1
017.4329;+35.6206; 2.05;M0III         ; 3.6e+01;J3
017.4329;+35.6206; 2.03;M0II          ;        ;D10
